Element,Overall,,,,,,,,RCF,,,,,,,,,,,,,HDO,,,,,EHF,,,,,Cellulosic ethanol,EHF,,OP,,MP,,TEA
Feature,Operating days [days],Poplar feedstock price [USD/DMT],Labor cost [USD/yr],Electricity cost [USD/kWh],RN co-product credit [USD/kg],RD co-product credit [USD/kg],Hydrogen price [USD/kg],Hydrogen storage period [days],Solvolysis reactor pressure [Pa],Solvolysis reaction time [hr],Solvolysis residence time [hr],Solvolysis cleaning time [hr],Methanol cost [USD/kg],RCF solvent losses [-],RCF catalyst price [USD/kg],RCF catalyst lifetime [months],RCF catalyst loading [kg/kg-biomass],Cellulose retention [%],Xylose retention [%],Delignfication [%],Condensation extent [%],HDO reaction time [hr],HDO solvent loading [m3/kg monomer],HDO catalyst loading [kg/kg monomer],HDO catalyst lifetime [months],Dodecane cost [USD/kg],Glucose to ethanol conv. [-],Glucan to glucose conv. [-],Saccharification residence time [hr],Cofermentation residence time [hr],Xylose to ethanol conv. [-],Xylan to xylose conversion [-],Cellulase enzyme loading [wt%],Cellulase price [USD/kg],Et oac solvent to crude ratio [L/kg],Ethyl acetate price [USD/kg],Hexane solvent to pure oil ratio [kg/kg],Hexane price [USD/kg],Minimum jet selling price [USD/gal]
10,334.6119333,58.53445833,21873140.74,0.162492258,0.591836653,0.987912209,4.542498371,2.859142916,6379258.762,2.429662153,0.363520893,3.337291498,0.296026325,0.005336532,47.91095614,20.48416351,0.090392163,0.915591074,0.664232635,0.623435114,0.602877895,7.729475833,0.025927763,1.001926461,3.248979275,0.201694854,0.81527222,0.818831907,55.14832054,30.98004377,0.873171554,0.897912005,0.036296199,0.281492604,9.444364272,1.104334986,1.456038339,1.608780968,28.64582098
11,343.7013058,78.91771396,16638578.96,0.093307236,0.5375853,1.296724192,3.716291774,2.16631586,6398616.254,1.388899296,0.286132244,1.037695368,0.336217586,0.089299482,21.45946403,11.90640136,0.097867901,0.931213533,0.56852091,0.429540065,0.38670594,2.03745388,0.010420871,0.670671815,3.871708768,0.872572467,0.920529999,0.804043233,64.69974096,36.94953332,0.875229047,0.857199372,0.017499653,0.363239958,7.468417405,0.545459067,4.48243794,0.71659887,18.26216656
12,312.6085517,90.34920438,14543076.62,0.085443126,0.767229929,0.982363786,6.98946334,2.908271862,7401954.342,2.804967175,0.28968593,2.539403079,0.34332484,0.086134005,22.12977284,18.208193,0.115209171,0.870317988,0.290243611,0.830284487,0.009588116,5.104212259,0.047175344,0.846259243,4.387739949,0.729416848,0.890989391,0.812692553,54.58389214,38.66627503,0.846387516,0.812343251,0.048536394,0.553456501,9.065611438,0.431673502,3.681537597,1.505461999,35.33504452
13,297.8520781,86.79122392,21073169.58,0.103463618,0.635600783,0.814335523,6.760284658,1.24800594,6719703.708,3.24708668,0.297155176,3.436145457,0.352246884,0.016538627,21.61633117,17.52704589,0.071778757,0.913358731,0.55089257,0.649614632,0.198075589,7.500087045,0.02512583,0.621912242,8.506289205,0.664513033,0.94830126,0.817309846,71.91644635,39.1978114,0.819063715,0.869704293,0.019842964,0.413754066,9.231253043,0.514063209,3.794658435,1.457817257,28.77961912
14,343.6622154,88.6512976,15065365.18,0.145050332,0.717491552,1.216079914,11.13617186,1.408676481,7443130.012,2.352341787,0.424473826,1.867438931,0.361185466,0.025264362,27.81212186,10.49852926,0.141337076,0.963251642,0.326143598,0.400749948,0.31532893,4.758603179,0.028782997,0.742561363,5.607255008,0.607090851,0.814119974,0.876627165,71.15063216,29.05390826,0.805500539,0.802583754,0.024848144,0.505477883,7.397427294,0.539163292,3.816274536,1.582399961,25.32761705
15,343.2172082,68.56188232,20921514.39,0.113773699,0.553562413,0.925854753,10.76033668,0.764663825,7661634.334,2.153474361,0.288826578,1.771636784,0.341294992,0.056213232,33.9586902,19.24300461,0.113525152,0.889510307,0.938901807,0.790934324,0.219318638,6.785178101,0.010294376,1.162720373,1.340818854,0.174282796,0.912493982,0.82605974,55.55300979,35.89762747,0.885138224,0.898179083,0.022331507,0.368189963,7.598062605,1.034598547,3.160669975,0.907919141,22.52673967
16,319.6339665,72.77619922,10225766.72,0.141357555,0.697377858,0.829980884,10.25298998,1.965674536,8057671.422,2.336014892,0.298119891,2.10141024,0.357698622,0.082876059,28.15188539,19.91796146,0.119216121,0.959244709,0.504695176,0.884890561,0.119121149,2.752584342,0.01635045,1.072224262,3.260998054,0.790595804,0.822012864,0.806863834,64.40958763,35.22058255,0.832443272,0.848065211,0.016449292,0.388262037,9.249635382,0.471788862,2.521857276,1.223369981,23.95405654
17,303.1079013,50.97477183,26450293.1,0.138683494,0.526814281,0.736245102,4.356546455,1.013694466,6415073.918,2.306824968,0.317405753,2.527879809,0.3243382,0.051680361,47.8621439,12.06931619,0.109206314,0.910644028,0.294379659,0.658792198,0.313685593,7.521024427,0.027658167,0.56212567,4.126149132,0.807998433,0.82366387,0.820620753,64.97121337,39.22529051,0.847954514,0.839497615,0.031223632,0.534476538,10.36574144,0.440849592,2.80761492,0.951138874,29.38778829
18,324.2757921,80.31622225,10666135.88,0.105381065,0.685368025,0.744949497,4.07263614,2.127898815,8047682.15,2.245470286,0.435947035,2.8916351,0.372239776,0.036790793,25.57708414,23.66195755,0.106357004,0.885432944,0.624536495,0.873275106,0.07356723,2.681710472,0.02213712,1.174782811,3.109954608,0.113758267,0.893784502,0.898423465,62.87418265,32.8029342,0.870354468,0.892575469,0.028356009,0.436641453,10.10014206,0.805379035,2.47539806,1.751432019,20.38299402
19,360.0313902,94.55075912,21856695.03,0.164246665,0.582492419,1.003075621,5.725161934,1.753749126,8144288.132,1.738735015,0.258309044,0.691155941,0.327640015,0.044180586,39.69405256,20.94944113,0.057288466,0.888130514,0.434383626,0.680491433,0.029221346,6.570809888,0.038752932,0.793817913,4.650417106,0.320734527,0.934983452,0.85114849,65.21967181,30.79943635,0.834329952,0.849120597,0.016603186,0.313096504,9.449258029,0.644006067,3.377578023,0.9024909,22.65226946
20,316.3567814,97.89024971,20905609.38,0.118910204,0.619048111,1.101871892,8.452585712,1.659193879,6895354.748,2.536903845,0.340473129,2.754240222,0.358824013,0.096298614,48.08805125,22.82059783,0.149152773,0.882435405,0.417789939,0.785690852,0.154094316,6.574911415,0.028935484,0.803004999,6.232632316,0.62904934,0.81844052,0.860792837,62.09599143,31.27943421,0.845044987,0.803792289,0.017675937,0.238008601,10.44678123,1.038755681,4.724594713,1.765444081,32.14615806
21,310.7712548,95.39257689,26635941.96,0.150194641,0.637679313,1.236867292,8.827641375,0.434631914,6323062.584,3.829567608,0.423322709,1.190637558,0.351376189,0.023059882,34.17328219,7.066466059,0.070427558,0.830612309,0.582227989,0.575445805,0.323905236,5.393661346,0.011940531,0.620715407,10.45872317,0.116217314,0.917415861,0.862356637,63.9397245,39.41624916,0.829682745,0.805754165,0.033583041,0.222501786,10.49901216,0.841117323,2.660382228,1.314008183,28.06505049
22,306.2991153,86.93566702,24371716.3,0.098083651,0.529696883,1.450006495,5.974907219,1.60709283,6330769.009,1.002511474,0.399766686,0.592900421,0.289880201,0.089983112,30.21247254,13.41402818,0.112520655,0.806100898,0.333906624,0.536549676,0.662396502,6.14434765,0.047623507,0.779756988,5.210521722,0.424157987,0.933794655,0.896855628,68.09564607,37.82491373,0.86324295,0.861336678,0.040403225,0.295888913,7.506263648,0.425811999,1.683752829,1.329098792,23.43214757
23,338.0290965,50.35002865,16280933.3,0.124457451,0.601141973,1.045760443,9.66579367,2.214458834,6720325.951,1.990343553,0.255257434,3.241578977,0.32291166,0.054933531,52.46616799,6.232299086,0.095777626,0.957539542,0.744130816,0.704415094,0.620279301,3.957816984,0.053921796,1.035693414,5.304054911,0.103528697,0.86013548,0.887101037,65.14421094,36.83914648,0.821382815,0.846902421,0.048893864,0.54158745,7.436342352,0.606047388,4.506242719,1.391486883,33.55395773
24,327.2363806,81.36290658,9284660.322,0.140550385,0.738512765,0.974681805,6.234782294,0.813802181,6537806.588,2.815854103,0.408719385,0.798567751,0.312100964,0.035190107,45.40123574,21.70908736,0.059762314,0.909077973,0.958372851,0.6393972,0.334650108,6.579985672,0.012512656,1.085992716,8.759320562,0.145607272,0.920628095,0.810169135,66.61274625,31.08940841,0.894391788,0.827975945,0.047951132,0.540872254,9.10164798,0.44619978,1.308914373,0.852830428,22.56074566
25,340.5929868,54.42362699,15901243.8,0.083899027,0.626256039,1.097562645,3.592935816,1.115320139,7156954.883,2.127014566,0.498805228,1.851295497,0.342983012,0.084706217,24.78911099,14.54229647,0.104746728,0.856046471,0.55872088,0.538970979,0.453546223,2.65661947,0.02197668,1.075873767,9.689935106,0.317577828,0.949112674,0.886694118,61.37606489,42.24361385,0.852623336,0.842755017,0.038287892,0.409689717,10.82251792,0.395978043,2.1143563,1.614107804,19.21353586
26,350.9636958,64.34095949,23504530.23,0.087877573,0.524011111,1.448363594,3.134356309,1.815985209,6794882.818,2.225525041,0.495897775,0.655834617,0.329595059,0.029627331,33.49137272,13.33704417,0.072834584,0.949529634,0.867614431,0.506251892,0.063347647,6.761514738,0.034271455,0.912193427,5.536369532,0.306993052,0.813898397,0.859700572,53.7212551,43.17260546,0.806835876,0.87730507,0.034932635,0.265937338,10.06937827,0.528649157,2.360640493,1.101737368,18.5228764
27,356.0315027,70.5113244,16903498.27,0.095686495,0.616681263,0.858069526,4.969175907,2.030890245,6540101.387,2.381960171,0.276369249,1.971375765,0.319549896,0.070304637,21.71456629,16.65675992,0.124984917,0.847093982,0.489671697,0.604936224,0.022694804,2.542344197,0.030486948,0.672863517,7.763265484,0.840992763,0.861394435,0.814845639,55.06405323,29.04708143,0.871302395,0.829185616,0.01539955,0.320651687,9.41856329,0.425223454,2.340462736,1.210320072,23.69144329
28,345.775892,56.78914546,12145391,0.163721835,0.70430591,1.07751,2.936225889,1.909978007,7453662.656,1.324660445,0.405367563,1.162672779,0.298982708,0.095511483,53.61083204,7.861824314,0.109500744,0.951690387,0.281752221,0.5647705,0.586431064,5.509430957,0.042146758,0.613848063,2.056071966,0.278772364,0.932091456,0.864474302,53.59928478,41.44846887,0.884054008,0.8076382,0.036665891,0.326669583,9.355476399,0.60701385,3.786852146,0.97508623,20.10642002
29,329.000405,83.79207741,14862994.82,0.101721516,0.694149168,1.354156583,7.6753958,1.918556673,7960732.655,3.302187846,0.210829809,1.218053572,0.310230503,0.008367568,28.02601215,21.18900433,0.125091277,0.830068336,0.474151131,0.707168481,0.363543974,7.974220937,0.040367445,1.078189439,9.458087261,0.673646272,0.91453077,0.895031749,59.18822645,34.97165893,0.839964956,0.884624867,0.011567707,0.193935865,10.39657757,0.615056842,1.019684888,1.036157546,33.46479798
30,352.2289287,93.70500299,16470599.8,0.12915992,0.603601571,0.653510874,11.02342488,0.630814698,7397633.24,2.507395982,0.231953648,1.970565139,0.295566341,0.008683469,42.21114741,20.79452634,0.092452867,0.896390832,0.571581689,0.891710792,0.404172967,2.921884553,0.045602371,0.447860986,3.188214284,0.661714496,0.943893832,0.865208989,66.44311466,37.64617173,0.873616711,0.813479885,0.030554967,0.296976836,7.463387629,0.681877375,2.349935638,0.785984459,27.11768179
