Element,Overall,,,,,,,,RCF,,,,,,,,,,,,,HDO,,,,,EHF,,,,,Cellulosic ethanol,EHF,,OP,,MP,,TEA
Feature,Operating days [days],Poplar feedstock price [USD/DMT],Labor cost [USD/yr],Electricity cost [USD/kWh],RN co-product credit [USD/kg],RD co-product credit [USD/kg],Hydrogen price [USD/kg],Hydrogen storage period [days],Solvolysis reactor pressure [Pa],Solvolysis reaction time [hr],Solvolysis residence time [hr],Solvolysis cleaning time [hr],Methanol cost [USD/kg],RCF solvent losses [-],RCF catalyst price [USD/kg],RCF catalyst lifetime [months],RCF catalyst loading [kg/kg-biomass],Cellulose retention [%],Xylose retention [%],Delignfication [%],Condensation extent [%],HDO reaction time [hr],HDO solvent loading [m3/kg monomer],HDO catalyst loading [kg/kg monomer],HDO catalyst lifetime [months],Dodecane cost [USD/kg],Glucose to ethanol conv. [-],Glucan to glucose conv. [-],Saccharification residence time [hr],Cofermentation residence time [hr],Xylose to ethanol conv. [-],Xylan to xylose conversion [-],Cellulase enzyme loading [wt%],Cellulase price [USD/kg],Et oac solvent to crude ratio [L/kg],Ethyl acetate price [USD/kg],Hexane solvent to pure oil ratio [kg/kg],Hexane price [USD/kg],Minimum jet selling price [USD/gal]
290,298.459946,62.065504,24474453.91,0.087185049,0.582265808,0.747055682,7.015925465,1.03409,6344497.199,2.951983459,0.32200208,0.677169999,0.28804823,0.01621356,47.38437864,11.86713301,0.144590377,0.905398528,0.857607057,0.759631675,0.470594975,3.260213112,0.045178676,0.602265232,2.070265648,0.40129797,0.937027965,0.837380873,59.04450857,37.12048961,0.813657085,0.864314205,0.030574328,0.29398509,8.926522542,1.057660238,4.969836279,1.490317032,28.12170063
291,354.9667427,85.28212068,19337099.24,0.113617286,0.738400199,0.929889499,6.881672667,0.754332562,8206169.898,2.785751939,0.334937925,0.687867727,0.357428382,0.018488982,53.57923536,11.38215179,0.147251439,0.964896438,0.825428075,0.520922018,0.657322191,4.38019196,0.048834741,1.0997686,10.52922115,0.398676098,0.845822445,0.863066499,65.37019762,37.13711074,0.888879058,0.823704146,0.024125085,0.553069278,9.318772799,0.701060374,1.881894769,1.423523056,26.44994326
292,324.2381633,76.51951694,12741856.88,0.152499332,0.673218387,1.266829628,5.683543622,1.002976178,7392786.765,1.439176656,0.300897763,3.519381645,0.338571632,0.083502762,39.3689397,8.59586266,0.112013839,0.89443812,0.368119507,0.619244401,0.401122608,7.945636334,0.046424299,0.970489331,11.5233325,0.776896425,0.809438842,0.844683853,55.72325978,29.16060947,0.837706799,0.872531993,0.026930538,0.337946402,8.082191475,0.620282392,3.236383708,0.733349395,31.12127932
293,317.9397587,79.24366048,12250999.07,0.085241673,0.695376579,1.378795169,4.777991591,2.336949358,7879453.984,1.312350862,0.360243155,0.510236236,0.31917041,0.050059441,45.94188185,16.0049626,0.097713676,0.841200455,0.677011996,0.861725434,0.134994171,4.017820193,0.044238832,0.887563584,5.69942866,0.522722874,0.840472177,0.885660317,66.42557416,30.93867852,0.881958922,0.891311432,0.037132396,0.216079145,10.1685415,0.846979339,2.086138914,0.638234279,21.59888564
294,317.5433379,93.95103876,14405411.12,0.098760204,0.628824208,0.766610201,6.32863939,2.077567756,7368990.392,2.995777501,0.29230631,2.113824853,0.313047662,0.038653236,33.5558529,12.94643429,0.074545656,0.936527346,0.578476284,0.756483596,0.273632116,2.544450112,0.059648281,1.160375919,7.077268577,0.872796625,0.832123074,0.844097096,57.0555952,31.84404469,0.813685538,0.831468722,0.024316527,0.547033875,9.795635074,0.796969713,2.561341583,0.716381548,31.32635664
295,323.3011174,76.69069647,16045485.6,0.091930039,0.747686959,1.445722097,8.230766002,1.507344616,6747516.298,1.821698974,0.1821775,0.893819284,0.363648192,0.015188314,56.23096755,21.74350288,0.084648113,0.939033271,0.445776945,0.681056093,0.443056253,2.468772733,0.054730962,0.913771294,4.281078167,0.881883812,0.88896218,0.803665906,61.4191359,31.8292006,0.809695202,0.888314927,0.020789477,0.382243869,10.54576594,0.880206393,1.580929478,1.423117804,32.79333685
296,300.3571944,56.07998715,26211477.29,0.127391953,0.577223538,1.404544025,8.616509302,1.570510346,6668347.518,1.204283334,0.237637476,3.109995918,0.383000873,0.077702887,38.19769733,13.96682372,0.115906179,0.819438502,0.266966924,0.667799402,0.583061175,3.74265289,0.056077113,1.15962489,7.361032753,0.661038163,0.875722099,0.844669648,69.01491307,37.41440843,0.816445999,0.845488323,0.017208269,0.439907237,10.30107231,0.413936381,1.232067376,1.392719498,37.0210699
297,312.7257758,80.50206406,16540055.02,0.103084472,0.603045031,0.767871635,10.14389314,0.641195602,7265108.408,2.156940054,0.442461712,0.595850732,0.289937834,0.093628891,43.08464595,13.04792494,0.133227369,0.927984805,0.760297273,0.67742129,0.412549679,2.605406998,0.027169597,1.10492682,11.06086039,0.312720708,0.907051438,0.817195506,65.71446843,31.2307199,0.817442912,0.884892579,0.029886668,0.378909859,8.751532911,0.748001537,2.024519705,1.395136837,22.85080699
298,343.0732898,63.84225275,15382960.54,0.132046176,0.577543384,1.397530906,9.842029832,1.500951214,7914444.601,3.346557211,0.492820197,3.284090827,0.321306199,0.095528049,31.13752317,19.01971388,0.136436284,0.909799599,0.27648632,0.602351961,0.35018196,3.558026065,0.015934688,0.88730058,7.056759559,0.200032623,0.91584272,0.866958386,69.98801217,36.07777504,0.868475223,0.871183092,0.022831568,0.572420126,9.345199499,0.949057153,4.696834257,0.961479894,27.47008472
299,333.2819324,91.74614844,13471389.49,0.094215058,0.617402717,1.415354637,4.661583804,2.458278205,7895562.472,3.082764546,0.317278731,1.067665175,0.324192038,0.064806598,45.09926132,8.067994004,0.070575581,0.967105939,0.639448399,0.44661916,0.325882314,7.643178679,0.034210702,0.450569184,9.034212453,0.425931131,0.864639958,0.802803458,66.03818499,31.05268197,0.893562923,0.899714331,0.024242727,0.506026835,8.02121072,0.827142039,3.796318057,1.516808514,29.31695418
300,304.6142276,67.38883077,11078905.66,0.110770792,0.542370976,1.129158234,10.75104307,2.072014343,8001770.089,3.162129508,0.34844015,3.381501194,0.350714658,0.053938908,25.29430008,20.43693837,0.11926975,0.980609204,0.598961633,0.664717744,0.312991172,3.098807876,0.0439464,0.952850584,1.006387951,0.309110528,0.817798982,0.873675387,71.50286601,37.83049599,0.893475965,0.825940838,0.014272438,0.373361734,9.275360417,1.090645628,3.209397358,1.314791908,30.66612666
301,324.5920185,91.2586471,11828182.13,0.150509345,0.630946845,1.254289115,5.615372598,0.845171368,6995243.002,1.106674137,0.395093557,2.615817816,0.332193923,0.089595015,43.15422564,17.63892156,0.057608972,0.963332134,0.577236913,0.886421946,0.1570897,3.585572378,0.045883295,0.682121156,9.537457392,0.810465399,0.802239329,0.844175009,59.59429836,42.10277551,0.852458264,0.875462018,0.022754134,0.457406449,8.440259353,0.497311118,2.857794758,1.413273806,22.65066619
302,316.5666592,98.9122793,16332602.91,0.098963071,0.697663271,1.110074423,10.72399467,2.058612293,7820145.32,1.109404065,0.389152775,2.508287497,0.337410437,0.093313967,32.07180937,22.8408754,0.089971759,0.83602715,0.85896617,0.555350595,0.259145174,4.892172066,0.030179967,0.491996222,5.462217552,0.40054657,0.81316847,0.888849016,48.76292516,38.97821185,0.828124061,0.849800011,0.030744574,0.490605838,10.22038281,1.130075942,2.081250957,0.903918436,26.7812818
303,303.9500201,63.63295913,22521823.72,0.089562447,0.627424411,0.801688966,4.233710705,1.984921908,7559013.177,2.965146298,0.368741661,2.59696476,0.359742295,0.090252913,30.28975624,21.00570297,0.144043631,0.858309054,0.953086688,0.515264122,0.452168981,4.106820274,0.020636819,1.161268156,1.857137889,0.577108,0.905907765,0.885846153,50.68665451,41.18935054,0.846341297,0.846596002,0.032657013,0.57212823,7.998899037,0.440473578,4.671490075,0.956706294,27.06216587
304,303.6006167,83.55852527,15090991.63,0.100113336,0.635038367,1.471205653,11.2359163,1.335863269,6462797.977,2.036413395,0.268963466,1.602774953,0.358488549,0.074040988,32.19107048,7.265937696,0.075277151,0.963222499,0.938738184,0.52909159,0.081923009,4.132119431,0.026054659,1.156623423,4.185752836,0.851599922,0.805857189,0.882426978,60.76537414,41.26715447,0.860108107,0.882992174,0.012403146,0.42232249,10.64335078,0.65305864,3.798533449,0.907009765,23.70208183
305,313.9657243,62.00280192,14336869.14,0.104701883,0.725176045,0.936442108,6.04124883,1.844605703,8201467.658,1.627771658,0.475929208,1.422273391,0.329720578,0.038899683,27.01438881,20.10276418,0.123331459,0.809202863,0.597594706,0.780185068,0.298927811,5.2616446,0.045802575,0.74425283,7.735179674,0.454837941,0.906128189,0.887197365,70.79748794,34.52161176,0.860921619,0.847301514,0.041719383,0.489519259,10.87072492,0.963201754,3.375199829,1.417184186,26.75701282
306,345.0889314,68.843515,25493411.14,0.084445742,0.758858338,0.69483999,4.752999036,0.758899873,8226007.084,1.88372205,0.394887501,2.275752372,0.354073866,0.006394957,35.36884603,20.94519236,0.070419378,0.917589323,0.86316531,0.707562794,0.03209408,6.964842752,0.06526273,0.651182259,5.966889643,0.123207891,0.801911975,0.805071699,48.32413532,33.00657977,0.893809111,0.85130614,0.031631679,0.27794181,8.210780714,0.857858404,2.614168332,1.612791643,22.60004509
307,348.9774916,70.23478019,11777362.29,0.08468005,0.659479369,0.664725625,10.72676053,2.199932031,7794989.869,1.37988142,0.242976912,1.657253659,0.299107851,0.09239713,54.06883077,12.93456152,0.075545078,0.873830002,0.594016075,0.674398943,0.14884016,3.454476886,0.044207824,0.440327627,8.616345874,0.693817285,0.945849021,0.845800977,48.55023453,33.22643511,0.886937134,0.855931635,0.038833003,0.26999515,9.51975694,0.589893858,3.025422067,1.275909164,25.21449753
308,325.1550247,95.97125079,24226083.98,0.087202209,0.711986563,0.940422126,7.427463792,2.460817554,8078320.734,1.601036148,0.262605426,3.224133178,0.316517918,0.046356423,24.74371108,14.5833656,0.081246557,0.981629742,0.516826402,0.634954311,0.578572186,3.068824646,0.052146977,0.420162674,8.240484863,0.806924593,0.881261643,0.844301455,63.74631359,31.89446813,0.887693387,0.859792361,0.010076963,0.427986813,7.598225657,0.762849108,1.76782603,0.836537363,27.85795339
309,317.1607204,62.05363144,17444391.8,0.108450416,0.760898843,1.306424908,10.67208673,2.340819362,7687238.99,2.325188026,0.339839469,1.315375158,0.308881575,0.024496356,19.0716457,9.507509944,0.141741051,0.982084556,0.59633244,0.576445091,0.19524764,2.778071289,0.026998375,0.478626679,6.306690222,0.20346045,0.872716164,0.807446949,59.45098782,43.16467275,0.845904784,0.842127474,0.034607216,0.538857788,8.206968719,0.93060408,3.037942273,1.620677285,26.49854952
310,361.1464693,53.39480488,18253947.46,0.125479908,0.748111317,0.708470866,9.347498625,2.071377312,6921190.699,3.124945997,0.415679682,3.090273526,0.334329237,0.09758251,20.91471819,13.21650996,0.11047934,0.930640183,0.287144923,0.825821299,0.444222426,2.638510638,0.040775103,0.604020462,5.643088542,0.89113567,0.866910901,0.822172258,50.47601342,30.96328825,0.858800922,0.877228483,0.037910211,0.532359408,9.045598377,0.68113094,1.732594877,0.890048442,32.46417542
311,350.0266679,98.09475233,18712267.58,0.106038237,0.617583976,1.014067223,10.09073441,1.669738171,6788823.465,3.612073371,0.485587873,3.728528989,0.343378467,0.024150668,48.05812269,19.94646937,0.094586903,0.950631145,0.744810063,0.732674309,0.387431181,5.722793954,0.04466123,0.422398037,5.182564168,0.752673249,0.811303758,0.853746136,49.6012964,35.3462789,0.872890427,0.825908607,0.034669287,0.514720896,9.152372483,0.996794275,2.874253369,1.602022245,31.67855034
312,340.1392197,81.09991312,22182481.31,0.113214654,0.52922008,1.275125158,4.256117441,1.461733171,7037077.349,3.348802677,0.47418344,1.464677706,0.282915561,0.00960017,34.63504371,11.80487075,0.056195665,0.954678846,0.993814099,0.803002465,0.05109233,3.794941305,0.054254699,1.022011741,1.36473268,0.634231308,0.883439309,0.882632222,70.64284794,37.44058979,0.879809067,0.876649363,0.01900473,0.202169023,10.71608629,0.390422578,3.351722185,1.025193872,21.13884127
313,353.3418728,77.53853684,17961658.71,0.117424665,0.748916074,0.826691147,3.493590077,2.18549893,7152543.836,1.304466905,0.311668909,1.169587012,0.301617911,0.075875935,49.83041601,10.99360996,0.139127159,0.954838534,0.871943603,0.778712369,0.692889152,7.043580482,0.017782738,0.502918308,8.418044588,0.375180162,0.800890965,0.883570012,54.206718,41.95368354,0.898421244,0.84767961,0.028463274,0.356497935,9.374951936,0.510842816,4.224108596,1.270539784,19.77448632
314,358.7108302,78.6091986,17857651.43,0.145562395,0.512043267,1.02174617,4.412247243,0.548066864,7260505.328,2.390960956,0.3723115,3.824264795,0.302045984,0.085151773,35.09490508,9.794097851,0.07349764,0.892699203,0.95193121,0.791288063,0.386908876,3.922054758,0.041466386,0.728556419,3.047373939,0.322808415,0.84278001,0.884128709,67.97087792,39.9363474,0.866192174,0.832558101,0.038473457,0.424314389,8.058787532,0.914965974,4.454202683,0.848412113,26.17420214
315,336.1130954,51.0645891,12753857.86,0.155237836,0.729215064,1.103730446,5.45279451,2.718843939,7589838.891,2.438195678,0.26699027,0.979976169,0.334614625,0.054073963,27.07540848,13.51304149,0.121692742,0.83266221,0.633250338,0.822989482,0.38326161,6.626330662,0.04968417,0.723989299,8.547834787,0.662816754,0.873345827,0.874441996,49.4494542,33.86846236,0.859271814,0.893978538,0.017465267,0.197799053,7.378846699,0.471545085,4.218804306,1.001198498,25.84793923
316,361.8929701,63.12875248,9344619.706,0.083295066,0.631895296,1.256896857,4.96066254,2.841217471,7328276.65,3.155173256,0.339062615,1.775430573,0.318701726,0.079433929,35.0188797,15.93953089,0.146984956,0.827023184,0.682658616,0.876905901,0.584633927,5.69494956,0.023150414,0.470026844,6.46521824,0.255630878,0.871851052,0.864943336,52.83669935,37.60231361,0.884247051,0.870537847,0.015057907,0.364758326,10.10618772,0.965174797,1.348187234,0.98645425,28.23600603
317,355.2394626,74.9160132,19370811.66,0.096476147,0.713903472,0.678547824,11.42044836,0.363255485,6557536.775,3.970887554,0.370914,0.763911804,0.326275442,0.01389013,48.3044872,8.678625231,0.067622592,0.959521692,0.521467446,0.742888084,0.455371958,7.002134818,0.060445862,0.508329517,9.459361802,0.822811917,0.856980937,0.809005533,48.70386679,41.15998739,0.830378119,0.800529315,0.041368629,0.27553636,10.86868438,0.543107468,4.354303894,1.105458856,34.37532889
318,332.5237199,70.39002255,15627750.35,0.09665099,0.526329206,1.337926046,4.332783393,1.755432195,7056364.486,3.356837448,0.352602243,0.787816655,0.328482101,0.081736066,52.28457044,23.47436231,0.10454701,0.968158262,0.214512187,0.541962549,0.331194209,6.50614162,0.059965991,0.553779394,3.080279624,0.395564546,0.806490991,0.809106689,65.51141422,33.73428271,0.838701313,0.869167515,0.046000922,0.355379461,10.3300458,1.075490837,1.050923987,1.294031392,37.02786046
319,347.1863732,74.8290617,10746806.71,0.142980774,0.584301686,0.98869451,7.251873437,1.284938342,7277629.476,3.495222401,0.245561994,3.568173793,0.342385201,0.02647362,20.66861526,11.06820864,0.061378559,0.838508818,0.68293849,0.88714761,0.676043327,2.645207808,0.038382279,1.141396072,8.28239931,0.722731042,0.861820163,0.872532472,55.57811899,30.42851537,0.873767832,0.888872215,0.042650368,0.527972986,10.56515677,0.573304451,3.034975351,1.0769442,38.56777989
320,339.2370397,61.33952774,24156562.03,0.121525552,0.670971176,1.213691362,7.233800646,0.808971293,8311985.721,2.289916074,0.308094479,3.908533829,0.315273644,0.03488872,35.60621398,19.06664458,0.149585067,0.808844876,0.592211363,0.582726092,0.183937856,7.892113312,0.061299148,0.482497437,4.280066256,0.885380923,0.808852032,0.813414085,67.90219499,29.25494625,0.860227926,0.838598151,0.04423482,0.551468047,9.356071659,0.423398866,1.232819351,1.01722981,36.86229243
321,297.1690432,55.90394423,19919067.33,0.131623118,0.689101244,0.87471602,9.83951046,1.632097049,6705369.25,3.028130925,0.222523787,2.788888536,0.321332282,0.073768696,41.48086608,20.33658082,0.069120499,0.980382578,0.611415513,0.40194417,0.369975229,4.490529617,0.039685102,0.581534841,6.231086254,0.481951906,0.859903614,0.813752057,65.63551467,38.45539611,0.860896093,0.878475858,0.012772539,0.458834928,9.260993535,0.691050446,4.657313969,1.270928674,33.58912744
322,346.667793,94.95686668,19645542.65,0.174976085,0.511460325,1.026416739,6.887696124,2.124054832,8192913.143,1.836619836,0.406179291,2.719760844,0.363899769,0.011731635,52.75760021,20.00587157,0.145687037,0.890118394,0.431395082,0.511419467,0.645149654,6.402080851,0.041831273,0.83003474,7.670996348,0.851865571,0.842906478,0.869123367,66.87603066,31.21583368,0.801828792,0.829956638,0.041999531,0.430933813,9.641342134,1.014660451,4.93336763,0.687416791,33.5892102
323,359.2435327,57.18382684,21491762.99,0.084056449,0.541275278,0.908068377,8.86885076,1.962353313,7996114.189,2.877553745,0.277934985,1.753111162,0.344257749,0.062484062,50.04510175,17.81442283,0.078549833,0.855566545,0.29772045,0.795369156,0.193906923,4.713313426,0.051169096,0.741867721,8.802229025,0.347777635,0.893285848,0.815876751,67.68142689,29.03078151,0.889398091,0.828618256,0.026938972,0.328393073,8.256700778,0.908887532,4.754173525,1.410617496,34.0895692
324,344.048493,63.0996371,26002346.63,0.157041861,0.749608929,1.33848306,7.503520415,1.914133877,7933850.419,3.853769731,0.355075919,3.855105801,0.298454207,0.018289678,27.22669091,7.719690104,0.09634511,0.979551212,0.923967264,0.422344164,0.315864179,6.240736113,0.046529109,0.969074321,10.2800215,0.897715205,0.935778319,0.855288709,59.28433398,38.22233234,0.812595351,0.809208018,0.024638289,0.239319838,10.90382395,0.539338915,3.610228015,1.398146904,25.20216977
325,354.3835712,97.375035,23024276.74,0.114046987,0.608287109,0.906214169,3.804120962,2.309000124,6544117.931,1.581150621,0.282436156,3.614618318,0.354342491,0.098395021,26.50387733,10.36888805,0.080459791,0.961698563,0.297386947,0.760213082,0.216907324,7.455974996,0.056763988,1.165187968,2.767827092,0.2774389,0.802342392,0.806219314,54.47011176,37.89448316,0.805974466,0.836081608,0.031483558,0.564482256,10.64366023,0.767890094,3.089174363,1.393170119,36.04713554
326,344.5150266,76.4217321,14098732.36,0.116994486,0.609658941,1.396280943,8.790135324,0.987735824,6536948.362,3.227287329,0.2248084,1.930414163,0.305135639,0.011681094,39.08931585,10.01261824,0.089848381,0.933671571,0.579624784,0.470939577,0.346788721,4.357379372,0.037819326,0.58450219,8.405122619,0.456182024,0.873983212,0.814639933,58.7959446,41.03210789,0.837338148,0.841763618,0.017944642,0.207831089,7.850119455,0.731788011,3.573449864,1.552452062,31.36283513
327,349.5881416,96.29923806,18442876.04,0.083315802,0.535558494,1.469406692,2.761389995,1.196704067,6488832.553,2.386286883,0.331182405,3.770052433,0.303550501,0.082894163,47.90147211,14.22374508,0.088828094,0.871066511,0.918446731,0.498108755,0.265137393,3.005588912,0.062025559,0.863951996,10.35578764,0.17764593,0.869283801,0.831795,56.90256031,35.36194526,0.882546837,0.845510528,0.028602295,0.403619546,8.187957616,0.666796064,2.974291104,1.647905752,26.50959809
328,346.986812,57.97051588,18369068.22,0.120494104,0.514533264,1.301908651,7.19591719,1.020869872,8252721.609,1.591780939,0.297819931,0.666677801,0.346992539,0.092000476,18.88050368,22.84461812,0.082288271,0.865747652,0.492260146,0.404996764,0.631243613,3.664332964,0.058370415,0.493001063,2.119427013,0.478819952,0.82748091,0.852558251,66.88661389,32.24281254,0.811409769,0.877450779,0.015308551,0.426334304,8.505985782,1.134203821,3.348856617,0.860743438,27.63299229
329,350.706378,51.90492133,9210056.106,0.124845261,0.574661277,0.68259169,9.293278311,0.927779533,6781432.995,2.005516827,0.191310071,3.217205982,0.365316305,0.049837078,26.64316739,6.567846762,0.057711242,0.813199562,0.582909108,0.714409686,0.047023474,2.451936939,0.054089479,1.017988418,2.087280904,0.616407722,0.849957821,0.867995924,53.35176679,32.06336282,0.850888414,0.870944272,0.037027553,0.505152085,8.402610531,0.736350545,3.432516197,1.530157712,36.39778272
330,347.7312422,72.65889466,26205061.88,0.099614844,0.509047266,1.010662118,7.630167032,1.555162634,7981219.065,3.168240145,0.373202697,2.143432914,0.332764192,0.011845354,48.15914112,17.90483452,0.060074857,0.954417904,0.584679707,0.590413057,0.089931257,2.588787718,0.056681019,1.040619382,9.241583223,0.417919898,0.904503962,0.872926182,61.73795285,39.10052042,0.88061763,0.80966734,0.017977964,0.424689996,10.42950426,0.654777011,4.390749506,0.954142924,24.07445248
331,355.1590069,96.47974492,13812763.07,0.08662825,0.592866303,1.456156653,10.67666645,1.075914126,7178022.672,1.857853907,0.294341918,1.788258292,0.342650762,0.021564055,48.00574505,14.67219001,0.125215249,0.863258475,0.871729286,0.691490902,0.074444973,7.462451912,0.026844369,0.831494618,1.459830055,0.867038621,0.838085761,0.850282702,48.84956904,34.16696641,0.892692864,0.881596696,0.033140736,0.548496051,10.64896066,0.958904809,1.143411443,1.185333435,27.56894836
332,308.8634664,74.32380418,14148908.17,0.103035107,0.762142689,0.887539354,5.57689622,2.938542443,6317459.226,2.13429518,0.320765086,1.68580546,0.362576565,0.084600712,36.74126781,15.15274222,0.130260316,0.984744024,0.437034907,0.835833382,0.349525395,6.357680308,0.01243635,0.780991365,9.497218175,0.327366986,0.861246059,0.855895824,50.5283663,38.7366679,0.837034152,0.823367431,0.011684315,0.428742827,8.083043262,1.048582625,3.805669294,0.65260408,21.89362041
333,351.0565656,71.80581924,15939264.31,0.090255184,0.516266113,1.006642782,8.741077003,1.692101041,7347353.161,2.685079445,0.30449025,2.567594727,0.31584263,0.014364129,53.76639262,9.57689943,0.136555187,0.927507089,0.682138584,0.623560069,0.347327754,2.533430858,0.033432111,0.946631145,1.476898138,0.478558872,0.859575873,0.869587709,67.13305221,35.53122798,0.820102254,0.821159295,0.033368848,0.341661098,9.611731185,0.772101183,1.506128675,0.692309013,26.31127756
334,300.30624,80.74788032,9271323.502,0.113442301,0.664473199,1.383286695,8.910060782,1.775847843,6435044.261,1.775432547,0.579914913,1.20844676,0.345952666,0.009677799,27.9358253,8.915058256,0.129383965,0.895443681,0.778504158,0.546822532,0.393601154,7.186908965,0.062007547,1.144002346,6.992124357,0.442275655,0.890317896,0.801143165,70.99495565,36.70566781,0.88304215,0.824791601,0.013688803,0.440341096,8.71586387,0.631132823,1.856760513,1.681420281,21.69119353
335,331.5687109,99.3338842,20670082.11,0.098824892,0.748975326,0.797893186,7.764462968,0.405066206,7266873.246,2.546348771,0.344664767,2.370823823,0.331814467,0.085450299,23.90375566,16.56324034,0.085667782,0.895883425,0.346038993,0.588896323,0.659508444,5.524142388,0.04417695,0.573621649,2.416950974,0.176949674,0.906770198,0.862737769,71.9016278,34.38124832,0.825758239,0.82936155,0.012273689,0.451273697,8.396926541,1.09270469,2.120955105,0.993980389,30.15315353
336,305.2366768,87.26124918,14637233.18,0.118786808,0.753218814,0.729804961,6.283962582,1.715862068,7164055.628,1.285330298,0.408481799,2.975809367,0.335781028,0.012357639,39.31019952,12.55176397,0.061415244,0.910877577,0.892671405,0.632073644,0.659898358,6.260110809,0.019520862,0.44205155,5.654533914,0.185937456,0.928152542,0.806443535,56.46411402,33.52547547,0.848668662,0.840424126,0.024445867,0.200824189,8.376896572,0.783208173,2.691487155,0.591382725,20.78070316
337,302.1808023,71.65617505,14725667.88,0.1200742,0.740752558,1.396481171,5.705935281,2.097110097,8005488.182,3.490604838,0.295697458,2.142393016,0.304250726,0.020631019,24.63857152,16.26138633,0.096602342,0.996448408,0.604211852,0.662535557,0.69890103,6.647346288,0.061257034,1.042352797,5.429813084,0.609991987,0.864721348,0.867133007,65.09391217,36.548562,0.887829299,0.83524306,0.027473921,0.378480439,7.679812435,0.455235184,2.570171648,0.911388249,30.90573403
338,332.7060001,52.33435875,12130279.53,0.102238498,0.531094856,1.296236105,5.927086488,1.960073129,7417132.063,3.423082811,0.290031423,1.467770586,0.331054831,0.082140439,55.43572474,20.76597537,0.128057834,0.839433957,0.941611845,0.810364431,0.149160227,7.037564233,0.016706857,1.000544982,10.45594948,0.696768226,0.942464003,0.856006191,49.14993245,36.16020595,0.892802234,0.85989425,0.023389435,0.447197618,9.770421543,0.6263253,3.598822559,1.758454168,25.32680815
339,315.4501902,51.14929953,11804970.17,0.086388244,0.648281222,1.127593022,5.412155687,1.492606166,6602259.933,3.990914766,0.289533985,1.016220478,0.316300628,0.071458789,54.90717788,23.75613937,0.102272527,0.827611239,0.467870991,0.82111334,0.370661989,2.910279022,0.01599847,1.196700389,2.742235457,0.373792027,0.802379361,0.868190365,63.11025313,29.08604676,0.861825103,0.842904009,0.040709247,0.314812033,9.658975262,0.463379407,2.963447704,1.019476869,32.39069875
340,350.6236718,66.73915012,17501435.69,0.160611232,0.580907118,1.129752976,7.522847586,2.71960896,7080260.994,1.448263712,0.233993363,2.456384233,0.331901502,0.009365528,38.06829083,22.30877843,0.128599751,0.856234462,0.71272538,0.757707853,0.399138625,5.739570761,0.02428279,0.843917014,8.656743094,0.496248833,0.840203868,0.800431403,50.18727135,40.96187876,0.887790245,0.896895594,0.015615385,0.273935429,9.82024074,0.51462207,4.419977561,1.332152735,25.5928214
341,297.0958745,64.49010958,26403017.69,0.137169341,0.57873525,0.793163804,9.437427308,1.073386383,6533786.212,3.042689877,0.380419465,2.595331565,0.303115975,0.026259926,36.25424915,8.483172798,0.112914912,0.859684397,0.415303097,0.654121669,0.061769395,6.376300768,0.042874951,1.177429501,4.590349,0.740181648,0.843580596,0.8549729,58.27590409,33.87771166,0.867055139,0.837367907,0.028804159,0.241801604,8.258974593,1.086005669,3.473960124,0.648983201,30.21134246
342,326.9131831,60.15028366,20401025.25,0.088935107,0.57697708,1.459747323,11.17893102,0.587364169,7847903.534,2.014087613,0.318786967,0.796490639,0.380479926,0.012960215,35.22226767,11.3278106,0.085775308,0.854319691,0.789167371,0.62253013,0.292163038,2.184403748,0.054169383,0.654544039,5.509890958,0.195769389,0.813743782,0.834110746,60.25013077,32.86621992,0.853634836,0.841588518,0.014774384,0.57471266,10.16084727,0.803558579,3.003356578,1.31771643,26.90605113
343,303.0899945,52.69762758,18220704.83,0.083742758,0.623474058,0.762176783,5.613880188,2.106220081,7683503.956,3.040458684,0.238382009,1.263597425,0.319644496,0.021132265,33.86477505,9.712430953,0.118717076,0.825882851,0.406959283,0.835083038,0.685251261,5.585141571,0.016307101,1.033712734,7.528176239,0.432074105,0.852128068,0.820226782,65.56612541,43.00994832,0.829008964,0.842830836,0.049268222,0.468396247,10.14605421,0.774830474,2.461228405,1.441941225,41.61683079
344,311.8016323,56.99442137,18837982.81,0.120123077,0.579113329,1.056065077,9.362814686,2.854668222,7451428.105,3.894798426,0.291091986,1.676939873,0.344773902,0.014028661,20.19025565,9.645665093,0.077021568,0.82494067,0.673590018,0.644436334,0.215640717,3.479825093,0.042954653,0.857501381,5.253872046,0.388345242,0.883234295,0.895003731,56.54261449,32.63688284,0.830497623,0.887169239,0.048006075,0.521206406,9.375303289,0.685357264,3.325635231,1.274742675,35.05676275
345,314.4654906,86.23589837,9800954.595,0.159862437,0.739154872,0.996825296,10.00292153,2.246105712,7684576.205,3.107688634,0.233523026,0.505302072,0.326789802,0.008029304,28.114405,10.80563239,0.063127484,0.828467782,0.494595915,0.767460743,0.118047684,3.604095816,0.057818391,0.50166805,11.82585732,0.465983889,0.862875048,0.864034504,64.06355965,40.6737221,0.874405638,0.879008454,0.044086437,0.237671126,8.325010232,0.520110478,1.092353461,1.296328767,31.92945145
