,Depreciable capital [MM$],Fixed capital investment [MM$],Working capital [MM$],Depreciation [MM$],Loan [MM$],Loan interest payment [MM$],Loan payment [MM$],Loan principal [MM$],Annual operating cost (excluding depreciation) [MM$],Sales [MM$],Tax [MM$],Incentives [MM$],Taxed earnings [MM$],Forwarded losses [MM$],Net earnings [MM$],Cash flow [MM$],Discount factor,Net present value (NPV) [MM$],Cumulative NPV [MM$],,
2041,0,0.235565225,0,0,0,0,0,0,511.642592,667.9192248,32.81809289,0,156.2766328,0,123.4585399,123.2229747,0.083905453,10.3390795,-36.45816107,636.5251944,
2042,0,0,0,0,0,0,0,0,511.642592,667.9192248,32.81809289,0,156.2766328,0,123.4585399,123.4585399,0.076277684,9.41713155,-27.04102952,645.942326,
2043,0,0,0,0,0,0,0,0,511.642592,667.9192248,32.81809289,0,156.2766328,0,123.4585399,123.4585399,0.069343349,8.561028682,-18.48000084,654.5033547,
2044,0,0,0,0,0,0,0,0,511.642592,667.9192248,32.81809289,0,156.2766328,0,123.4585399,123.4585399,0.063039409,7.782753347,-10.69724749,662.286108,
2045,0,0,-63.20203472,0,0,0,0,0,511.642592,667.9192248,32.81809289,0,156.2766328,0,123.4585399,186.6605746,0.057308553,10.69724749,-1.87382E-12,672.9833555,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,TDC Annual," $39,501,271.70 ",$/yr,,,,,,,,,,,,,,
,,,,,Operating cost," $511,642,592.03 ",$/yr,,,,,,,,,,,,,,
,,,,,Sales revenue," $667,919,224.84 ",$/yr,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,Net income," $116,775,361.11 ",,,,,,,,,,,,,,,
,,,,,Income tax," $24,522,825.83 ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,Net income after tax," $92,252,535.28 ",,,,,,,,,,,,,,,
