,Depreciable capital [MM$],Fixed capital investment [MM$],Working capital [MM$],Depreciation [MM$],Loan [MM$],Loan interest payment [MM$],Loan payment [MM$],Loan principal [MM$],Annual operating cost (excluding depreciation) [MM$],Sales [MM$],Tax [MM$],Incentives [MM$],Taxed earnings [MM$],Forwarded losses [MM$],Net earnings [MM$],Cash flow [MM$],Discount factor,Net present value (NPV) [MM$],Cumulative NPV [MM$],,,
2041,0,0.236430414,0,0,0,0,0,0,556.5746669,727.0416677,35.79807017,0,170.4670008,0,134.6689306,134.4325002,0.083905453,11.27961981,-39.76950816,694.4789599,,
2042,0,0,0,0,0,0,0,0,556.5746669,727.0416677,35.79807017,0,170.4670008,0,134.6689306,134.6689306,0.076277684,10.2722342,-29.49727396,704.7511941,,
2043,0,0,0,0,0,0,0,0,556.5746669,727.0416677,35.79807017,0,170.4670008,0,134.6689306,134.6689306,0.069343349,9.338394724,-20.15887924,714.0895888,,
2044,0,0,0,0,0,0,0,0,556.5746669,727.0416677,35.79807017,0,170.4670008,0,134.6689306,134.6689306,0.063039409,8.489449749,-11.66942949,722.5790386,,
2045,0,0,-68.95563878,0,0,0,0,0,556.5746669,727.0416677,35.79807017,0,170.4670008,0,134.6689306,203.6245694,0.057308553,11.66942949,-4.84288E-14,734.2484681,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,TDC Annual," $43,097,274.24 ",$/yr,,,,,,,,,,,,,,,
,,,,,Operating cost," $556,574,666.90 ",$/yr,,,,,,,,,,,,,,,
,,,,,Sales revenue," $727,041,667.71 ",$/yr,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Net income," $127,369,726.58 ",,,,,,,,,,,,,,,,
,,,,,Income tax," $26,747,642.58 ",,," $44,932,074.86 ",,,,,,,,,,,,,
,,,,,,,,," $59,122,442.87 ",,,,,,,,,,,,,
,,,,,Net income after tax," $100,622,084.00 ",,," $3,596,002.54 ",,,,,,,,,,,,,
