reflux_ratio_k,actual_reflux_ratio_LD,minimum_reflux_ratio_LD,theoretical_stages,purity,purity_target,recovery,recovery_target,feasible,CAPEX_USD,lifetime_years,heating_cost_USD_hr,cooling_cost_USD_hr,error
1.5,1.0299420001626673,0.6866280001084448,16,0.99,0.99,0.9920204081632653,,True,752983.9054644986,20,53.53838801397502,1.2192173390590177,
1.75,1.2015990001897785,0.6866280001084448,14,0.99,0.99,0.9920204081632653,,True,742253.1898957613,20,58.07267922455309,1.4224202993017387,
2.0,1.3732560002168896,0.6866280001084448,13,0.99,0.99,0.9920204081632653,,True,747736.5826426616,20,62.60765699487486,1.625623267844059,
2.25,1.5449130002440008,0.6866280001084448,12,0.99,0.99,0.9920204081632653,,True,751738.187187443,20,67.14325259370922,1.8288262429854716,
2.5,1.716570000271112,0.6866280001084448,11,0.99,0.99,0.9920204081632653,,True,752014.5807882424,20,71.67940556937371,2.0320292234604285,
2.75,1.8882270002982233,0.6866280001084448,11,0.99,0.99,0.9920204081632653,,True,769305.9390438638,20,76.21606269021031,2.235232208307736,
3.0,2.0598840003253347,0.6866280001084448,11,0.99,0.99,0.9920204081632653,,True,785187.8542429865,20,80.75317699722159,2.4384351967841886,
3.25,2.2315410003524456,0.6866280001084448,11,0.99,0.99,0.9920204081632653,,True,810841.8568019418,20,85.29070697348892,2.6416381883060778,
3.5,2.403198000379557,0.6866280001084448,10,0.99,0.99,0.9920204081632653,,True,797053.1280726367,20,89.82861582404384,2.8448411824085498,
