reflux_ratio_k,actual_reflux_ratio_LD,minimum_reflux_ratio_LD,theoretical_stages,purity,purity_target,recovery,recovery_target,feasible,CAPEX_USD,lifetime_years,heating_cost_USD_hr,cooling_cost_USD_hr,error
1.5,1.0299420001626673,0.6866280001084448,16,0.99,0.99,0.9920204081632653,,True,705134.263625067,20,53.83729228224786,1.2192173390590177,
1.75,1.2015990001897785,0.6866280001084448,14,0.99,0.99,0.9920204081632653,,True,704972.8840976988,20,58.38570885880585,1.4224202993017387,
2.0,1.3732560002168896,0.6866280001084448,13,0.99,0.99,0.9920204081632653,,True,709727.7283665305,20,62.9339967356177,1.625623267844059,
2.25,1.5449130002440008,0.6866280001084448,12,0.99,0.99,0.9920204081632653,,True,713023.6399116495,20,67.48217712640479,1.8288262429854716,
2.5,1.716570000271112,0.6866280001084448,11,0.99,0.99,0.9920204081632653,,True,703118.7285702678,20,72.03026682580598,2.0320292234604285,
2.75,1.8882270002982233,0.6866280001084448,11,0.99,0.99,0.9920204081632653,,True,719579.669140688,20,76.57827930303259,2.235232208307736,
3.0,2.0598840003253347,0.6866280001084448,11,0.99,0.99,0.9920204081632653,,True,734653.0384714095,20,81.12622548606441,2.4384351967841886,
3.25,2.2315410003524456,0.6866280001084448,11,0.99,0.99,0.9920204081632653,,True,759518.502512416,20,85.67411433393889,2.6416381883060778,
3.5,2.403198000379557,0.6866280001084448,10,0.99,0.99,0.9920204081632653,,True,744959.608714964,20,90.22195326105685,2.8448411824085498,
